timestamp,fleet_avg,fleet_p95,sample_count
2026-01-09T05:44:00.000Z,0.1183,0.1183,1
2026-01-09T05:49:00.000Z,0.1434,0.1434,1
2026-01-09T05:54:00.000Z,0.1216,0.1216,1
2026-01-09T05:59:00.000Z,0.1433,0.1433,1
2026-01-09T06:04:00.000Z,0.1200,0.1200,1
2026-01-09T06:09:00.000Z,0.1417,0.1417,1
2026-01-09T06:14:00.000Z,0.1217,0.1217,1
2026-01-09T06:19:00.000Z,0.1450,0.1450,1
2026-01-09T06:24:00.000Z,0.1200,0.1200,1
2026-01-09T06:29:00.000Z,0.1417,0.1417,1
2026-01-09T06:34:00.000Z,0.1200,0.1200,1
2026-01-09T06:39:00.000Z,0.1334,0.1334,1
2026-01-09T06:44:00.000Z,0.1184,0.1184,1
2026-01-09T06:49:00.000Z,0.1417,0.1417,1
2026-01-09T06:54:00.000Z,0.1183,0.1183,1
2026-01-09T06:59:00.000Z,0.1333,0.1333,1
2026-01-09T07:04:00.000Z,0.1200,0.1200,1
2026-01-09T07:09:00.000Z,0.1333,0.1333,1
2026-01-09T07:14:00.000Z,0.1200,0.1200,1
2026-01-09T07:19:00.000Z,0.1433,0.1433,1
2026-01-09T07:24:00.000Z,0.1233,0.1233,1
2026-01-09T07:29:00.000Z,0.1317,0.1317,1
2026-01-09T07:34:00.000Z,0.1200,0.1200,1
2026-01-09T07:39:00.000Z,0.1434,0.1434,1
2026-01-09T07:44:00.000Z,0.1233,0.1233,1
2026-01-09T07:49:00.000Z,0.1417,0.1417,1
2026-01-09T07:54:00.000Z,0.1200,0.1200,1
2026-01-09T07:59:00.000Z,0.1416,0.1416,1
2026-01-09T08:04:00.000Z,0.1233,0.1233,1
2026-01-09T08:09:00.000Z,0.1433,0.1433,1
2026-01-09T08:14:00.000Z,0.1217,0.1217,1
2026-01-09T08:19:00.000Z,0.1433,0.1433,1
2026-01-09T08:24:00.000Z,0.1217,0.1217,1
2026-01-09T08:29:00.000Z,0.1433,0.1433,1
2026-01-09T08:34:00.000Z,0.1267,0.1267,1
2026-01-09T08:39:00.000Z,0.1433,0.1433,1
2026-01-09T08:44:00.000Z,0.1550,0.1550,1
2026-01-09T08:49:00.000Z,0.1717,0.1717,1
2026-01-09T08:54:00.000Z,0.1417,0.1417,1
2026-01-09T08:59:00.000Z,0.1400,0.1400,1
2026-01-09T09:04:00.000Z,0.1267,0.1267,1
2026-01-09T09:09:00.000Z,0.1450,0.1450,1
2026-01-09T09:14:00.000Z,0.1200,0.1200,1
2026-01-09T09:19:00.000Z,0.1433,0.1433,1
2026-01-09T09:24:00.000Z,0.1217,0.1217,1
2026-01-09T09:29:00.000Z,0.1434,0.1434,1
2026-01-09T09:34:00.000Z,0.1217,0.1217,1
2026-01-09T09:39:00.000Z,0.1450,0.1450,1
2026-01-09T09:44:00.000Z,0.1250,0.1250,1
2026-01-09T09:49:00.000Z,0.1333,0.1333,1
2026-01-09T09:54:00.000Z,0.1150,0.1150,1
2026-01-09T09:59:00.000Z,0.1417,0.1417,1
